"","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"11233","TTC6",-1.72149518907033,3.36153464688271,-6.46325890591163,1.35631341166076e-09,2.32038098466922e-05,11.4757579050184
"3522","CCDC58",-0.764937600480184,4.59032757397899,-5.31475315179455,3.7980377974886e-07,0.00182515526425242,6.25397182598334
"1977","BCYRN1",-2.73451743189947,3.69718156867304,-5.30371291222113,3.99662339457381e-07,0.00182515526425242,6.18342608267884
"6172","ESR1",-2.52157686561377,6.82233250691601,-5.2438926342967,5.26165645509589e-07,0.00182515526425242,5.93137554803441
"3906","MFI2-AS1",-2.07252355706934,2.24248759617163,-5.23668508754945,5.43819443051982e-07,0.00182515526425242,5.69863404990396
"10147","STK38L",0.848572995347354,5.78456297201148,5.2009897960333,6.40105891133651e-07,0.00182515526425242,5.73497251069561
"9572","AP000439.3",3.9608628010486,-2.61675562227925,5.12990082470717,8.83757406340512e-07,0.00215990310109621,3.68679650202318
"1822","DTNB",-1.08106895851485,4.02466235478,-5.05399345504427,1.24322145491218e-06,0.00254000092680761,5.15241531077015
"12498","RRN3P3",-1.35690174112387,3.04941358288082,-5.03290321150056,1.36608219238467e-06,0.00254000092680761,5.02782752142264
"5725","SCUBE3",-2.21817019998011,2.78004614282498,-4.99304141592018,1.63129218160238e-06,0.00254000092680761,4.82475802013456
"12975","C17orf97",-1.23867497344656,1.6257802548187,-4.97479652657025,1.76875482778109e-06,0.00254000092680761,4.57347031315272
"14696","KIAA1683",-2.39870718177322,1.4473661330991,-4.9731596312174,1.78162328277363e-06,0.00254000092680761,4.60591119283792
"3534","SEC22A",-0.63358517097085,4.32654542125178,-4.88120725742192,2.67043124908178e-06,0.00351428752379163,4.43573738493602
"1019","BNIPL",-1.83717702288552,4.27808345989876,-4.7832967265688,4.08659272510108e-06,0.0048728382950249,4.04357316742041
"7992","NIPSNAP3B",1.6653045094758,0.997765310678883,4.77052019778327,4.31808111266014e-06,0.0048728382950249,3.83182275742457
"16447","ARHGAP8",-1.22454008777566,4.60388280910372,-4.75799794291069,4.55724881461295e-06,0.0048728382950249,3.93637812612606
"8413","SPAG6",-4.87869624814854,-0.24837317204099,-4.66799716523018,6.69515717148411e-06,0.00631025727897245,2.92766544154314
"9014","MUC5AC",4.37665969239262,-0.594838788490505,4.66772061106051,6.70302469074268e-06,0.00631025727897245,2.85257205859556
"14897","CTD-2540F13.2",-2.03888029307601,1.06695954828114,-4.64072577495057,7.51551955019556e-06,0.00631025727897245,3.19940003621691
"3584","EFCAB12",-1.96468018811701,1.00736027330473,-4.63294373230211,7.76688826866407e-06,0.00631025727897245,3.15049223173846
"8496","FAM21B",2.27748611657448,-0.138484458749408,4.62962419319482,7.87656589332349e-06,0.00631025727897245,2.89616907785224
"3589","AC083799.1",-0.94169971146627,3.23067502255773,-4.61375455997708,8.42189536339834e-06,0.00631025727897245,3.39231141670565
"15864","MIS18A",-0.822453806119919,3.98978512210591,-4.60696756996823,8.6660849022725e-06,0.00631025727897245,3.3471657037406
"1140","BGLAP",-1.33416841148,1.93626689078476,-4.60191323840766,8.85235998920615e-06,0.00631025727897245,3.21281047737601
"14435","C19orf45",-2.06552771147367,-0.600180244997016,-4.58219981219085,9.61650460041755e-06,0.00658076642815774,2.55919527920535
"12252","CCDC78",-2.05333769221152,3.06590301660109,-4.52869711508621,1.20248759230419e-05,0.00791236835736158,3.06812489330286
"5848","GPR110",2.95466364314075,0.169332533782226,4.51771084610933,1.25868107279289e-05,0.00797537621975586,2.69958250132318
"16652","CASK",0.897135861970138,5.32151237616988,4.44195035881115,1.72107676949412e-05,0.0105157790616091,2.64912033469554
"15004","LIPE",2.02207787656605,2.96231001308942,4.37388246610217,2.27268944022879e-05,0.0134073003253221,2.46052411597229
"8152","C9orf114",-0.479700764325329,5.10158109356452,-4.2748161733264,3.38810865168432e-05,0.0187272180048015,2.03462328371504
"1782","GEN1",-1.04843578442425,3.63704180483988,-4.27442551563042,3.39340517973374e-05,0.0187272180048015,2.10636983199259
"9381","LRRN4CL",1.70334244983039,-0.206041788740639,4.24318908404848,3.8436063696177e-05,0.0205488805535686,2.0047052141375
"12468","GP2",-3.56066077281318,3.56091379139419,-4.22914721746081,4.06415214919301e-05,0.0210695499904224,1.96436905341676
"12849","NPIPB15",-2.13605504903372,2.38449324095617,-4.20441911472192,4.48234180747455e-05,0.0225540893065514,1.85804958730151
"12394","C16orf89",-2.5868549240882,1.9458610817058,-4.18650705023344,4.81068131959215e-05,0.0235146102901664,1.79579348643323
"14364","CCDC94",-0.606806854248626,4.1075319543869,-4.16192654052215,5.29893246280519e-05,0.0251817046037976,1.67041950124398
"12321","C16orf59",-1.47621844469469,2.47930271515974,-4.11845020124325,6.28083178585816e-05,0.0290412081601247,1.57388419635132
"14811","HPN",-2.32890401976887,5.58271380469433,-4.1044376812678,6.63278549384859e-05,0.0295268248027863,1.41169291531643
"4293","LRRC37A15P",2.37831109102913,-2.43760099273856,4.09401324445265,6.90676312075146e-05,0.0295268248027863,0.648082372246998
"12316","DNASE1L2",-1.34751451454737,2.02819251588402,-4.09122978314394,6.98172830611803e-05,0.0295268248027863,1.4650543530877
"1342","RASAL2",0.58151580375166,5.00798809680259,4.08776168381435,7.07622058051343e-05,0.0295268248027863,1.3329739905705
"14588","PALM3",-1.77506414084705,3.00576422174136,-4.07371463360284,7.47159426979258e-05,0.0301312693132939,1.40846808659332
"15768","RBBP8NL",-1.15589483196282,3.53706609728214,-4.07021517447215,7.5733258152422e-05,0.0301312693132939,1.38793863445677
