category	mutated_samples
ESR1	9
TP53	8
PIK3CA	7
NCOR1	5
CDH1	4
GATA3	4
KMT2C	3
RB1	2
NF1	2
AKT1	2
KMT2D	2
FOXA1	2
KRAS	2
MAP3K1	1
BRAF	1
PIK3R1	1
PTEN	1
TBX3	0
