sample	Signature 1	Signature 2	Signature 13	Signature 15	Signature 5	Signature 12
MGH0004_1	0.4237971007823944	0.023038264364004135	0.041039153933525085	0	0.5121258497238159	0
MGH0004_2	0.382694274	0.034225575625896454	0	0	0.5830801129341125	0
MGH0004_3	0.45843052864074707	0.002049342	0.044401485	0.3046850264072418	0.19043362140655518	0
MGH0004_4	0	0.016728365793824196	0	0	0.983271599	0
MGH0001_1	0.38257256150245667	0.054145262	0.18883907794952393	0.089927629	0.2845154404640198	0
MGH0001_11	0	0	0	0	1	0
MGH0001_12	0.2686973810195923	0	0.035954747	0.546707273	0	0.1486402302980423
MGH0001_13	0.3774249255657196	0.078033879	0.4296179413795471	0.066162504	0.048759345	0
MGH0001_15	0.284566194	0.034998681396245956	0.023227177560329437	0.562567949	0.09463957	0
MGH0001_16	0.1209961473941803	0.036299016	0	0.3378811478614807	0.5048235058784485	0
MGH0001_8	0	1	0	0	0	0
MGH0001_9	0.32268038392066956	0.022167753	0.052618749	0.501491129	0	0.10104185342788696
MGH0002_1	0.31365230679512024	0.033415493	1.401298464324817e-45	0.12635818123817444	0.5265739560127258	0
MGH0002_2	0.23286540806293488	0.1328570544719696	0.086140685	0	0	0.54813683
MGH0002_3	0.2822108566761017	0.009584421	0	0	0.655070961	0.053133819
MGH0003_1	0.3329566717147827	0	0.033381052	0.019086360931396484	0.6145760416984558	0
MGH0003_2	0.4645881652832031	0.008756915	0.039748650044202805	0	0.2632177472114563	0.22368855774402618
MGH0003_3	0.9276217222213745	0.010894139297306538	0.061484210193157196	0	1.1460058582115863e-34	0
MGH0003_4	0.7588735222816467	0	0	0	0	0.24112647771835327
MGH0003_5	0	0	0.019337767735123634	0.38957878947257996	0.5910834074020386	0
MGH0005_1	0.35428687930107117	0	0.001162175	0	0.6445509195327759	0
MGH0005_2	2.5223372357846707e-44	0.011301313526928425	0.060112484	0	0.9285860657691956	0
MGH0005_3	0.3673347234725952	0.012304230593144894	0.017855115234851837	0.1677238792181015	0.4347820281982422	0
MGH0005_4	0.7388229966163635	0	0	0	0.2611769139766693	0
MGH0006_1	0.43266552686691284	0.002147966	0	0.17069290578365326	0.39449360966682434	0
MGH0006_2	0.12059559673070908	0	0	0.8099000453948975	0.06950435	0
MGH0006_3	0.09117987	0.019866134971380234	0	0	0.8193352222442627	0.069618732
MGH0006_4	0.3060447573661804	0.022067314013838768	0.11613763868808746	0.2447647750377655	0.3109854459762573	0
MGH0006_5	0.22981056571006775	0.097874001	0.011068223975598812	0.035777282	0.6254699230194092	0
MGH0007_1	0.350330114	0.002051842	0.009105403	0.056768414	0.5817444324493408	0
MGH0007_2	0.49712657928466797	0	0	0.3366999626159668	0	0.16617347300052643
MGH0007_3	0	0.24766330420970917	0	0	0.3496062159538269	0.40273046493530273
MGH0007_4	0.021983753889799118	0	0.005765596	0.21732498705387115	0.7549256682395935	0
MGH0007_5	0.079450272	0	0	0	0.92054975	0
MGH1005_1	0.37474876642227173	0.00712757	0.014315859414637089	0.002800426	0.6010070443153381	0
MGH1005_2	0.41890963912010193	0.011733089	0	0	0.5693572759628296	0
MGH1005_3	0.19812613725662231	0.007379248	0	0.005167617	0.7893270254135132	0
