sample	Signature 1	Signature 2	Signature 13	Signature 15	Signature 5	Signature 12
PT_0001-A-pre	0.47582486271858215	0.043515954	0.20487074553966522	0.2757890820503235	0	0
PT_0001-B-post	0.26095694303512573	0.021089205518364906	0.009701806	0.4911898970603943	0.18208840489387512	0.034973919
PT_0001-C-post	0.13539862632751465	0.037221078	0.029217828065156937	0.4849891662597656	0.24305760860443115	0.070115894
PT_0002-C-pre	0.3166378140449524	0.024371152743697166	0.020340770483016968	0.15899068117141724	0.47965940833091736	0
PT_0002-B-post	0.2320321500301361	0.074390635	0	0	0.69357723	5.605193857299268e-45
PT_0003-C-pre	0.4606374502182007	0.000516108	0.045910981	0.002002962	0.4569040536880493	0.034028463
PT_0003-B-post	0.45600268244743347	0.002766453	0.021928674	0	0.5193021297454834	0
PT_0004-B-post	0.375512034	0.017563833	0.021915762	0	0.5850094556808472	0
PT_0004-C-post	0.3859012722969055	0.004683414	0	0.057816755	0.40498051047325134	0.1466178148984909
PT_0005-C-pre	0.4056030213832855	0	0.002307408	0	0.5920895934104919	0
PT_0005-A-pre	0.24963600933551788	0.022186767	0.036772057	0.5253304839134216	0.16607466340065002	0
PT_0005-B-post	7.006492321624085e-45	0.019229089841246605	0.07036756	0	0.910403311	0
PT_0006-A-pre	0.33160868287086487	0.020348391	0.011116881854832172	0.1727229803800583	0.4642031192779541	0
PT_0006-B-pre	0.17560447752475739	0.028603002429008484	0	1.401298464324817e-45	0.7957925200462341	0
PT_0006-C-post	0	0	0	0	0.5816242694854736	0.41837576031684875
PT_0007-A-pre	0.2968811094760895	0.005548077	0.010174842551350594	0.036034177988767624	0.6513617634773254	0
PT_0007-B-post	0.023615051060914993	0	0.004913962	0.34935396909713745	0.6221169829368591	0
PT_1002-A-pre	0.1542644500732422	0.005028475	0.050499514	0.095370278	0.6948376297950745	0
PT_1002-B-post	0.045530189	0.029084322974085808	0.055324573	0.097397819	0.7726631164550781	0
PT_1005-A-pre	0.3892035484313965	0.008640174	0.011315497569739819	0	0.5908388495445251	5.197888185711285e-37
PT_1005-B-post	0.11032678186893463	0	0.013839350081980228	0.067686267	0.808147669	0
PT_1006-A-pre	0.25363823771476746	0.016562245786190033	0.010223546	0.081165157	0.6384109258651733	0
PT_1006-B-post	0	0	0	0.2311888337135315	0.7688111662864685	1.401298464324817e-45
PT_1009-A-pre	0.3257020115852356	0.00779286	0.002969917	0.095875047	0.5676605701446533	0
PT_1009-B-post	0.057369202	0.009255809	0	0.16175316274166107	0.7310137748718262	0.040608052
PT_1015-A-pre	0.32374072074890137	0.017183013260364532	0.020425371825695038	0	0.6386509537696838	0
PT_1015-B-pre	0.3582966923713684	0.065864243	0.20037496089935303	0	0.3754633069038391	0
PT_1015-D-post	0.2193477600812912	0	0	0.5004615187644958	0	0.28019073605537415
PT_1030-A-pre	0.1539262980222702	0.007690925	0.011463651433587074	0.004623376	0.666610837	0.15568667650222778
PT_1030-B-post	0.037752207	0.003812493	0.025808884	0	0.6561430096626282	0.2764841318130493
PT_1041-A-pre	0.3935869634151459	0.027100061997771263	0.000378475	0.037139423191547394	0.5417951941490173	0
PT_1041-B-post	0.10168812423944473	0.040518522	0.010598117485642433	0	0.8471950888633728	0
PT_1099-A-pre	0.37671575	0.0308966	0	0.017411187291145325	0.5749760866165161	0
PT_1099-B-post	0.1766532063484192	0.045900173	0	0.13767652213573456	0.6397700905799866	0
PT_1101-A-pre	0.3937053978443146	0.008268351	0.006571014	0.1032501608133316	0.4882059097290039	0
PT_1101-B-post	0.043424327	0	0.010672621428966522	0	0.7035045027732849	0.24239832162857056
PT_1108-C-pre	0.474596232	0.025029735639691353	0.036282189190387726	0	0.46409112215042114	0
PT_1108-A-pre	0.474596232	0.025029735639691353	0.036282189190387726	0	0.46409112215042114	0
PT_1108-B-post	0.4228160083293915	0.14267116785049438	0.40320920944213867	0	0.031303316	0
PT_1112-C-pre	0.32677945494651794	0.000547722	0.021084889769554138	0.034139301627874374	0.6174484491348267	0
PT_1112-A-pre	0.31945499777793884	0	0	0.066785172	0.6137598752975464	0
PT_1112-B-post	0.083110854	0	0.084384248	0.20563215017318726	0.6268727779388428	0
PT_1173-A-pre	0.21157211065292358	0.021144559606909752	0	0.17373540997505188	0.5854158401489258	0.008132058
PT_1173-B-post	0.4948204755783081	0	0.005374989	0	0.4998045265674591	0
PT_1328-B-post	0.32454270124435425	0.03636612	0.067252353	0	0.5718387961387634	0
PT_1534-C-pre	0.40926507115364075	0.031934641	0	0.056974463164806366	0.5018256902694702	0
PT_1573-A-pre	0.2845819592475891	0	0	0.050117884	0.6652999520301819	0
PT_1573-B-post	0	0.04504966	0	0.089368895	0.8655813932418823	0
